"UnitID","Institution Name","instate_tf_cost_2017","oostate_tf_cost_2017","books_supplies_cost_2017","oc_room_and_board_cost_2017","oc_other_cost_2017","instate_tf_cost_2016","oostate_tf_cost_2016","books_supplies_cost_2016","oc_room_and_board_cost_2016","oc_other_cost_2016","instate_tf_cost_2015","oostate_tf_cost_2015","books_supplies_cost_2015","oc_room_and_board_cost_2015","oc_other_cost_2015","instate_tf_cost_2014","oostate_tf_cost_2014","books_supplies_cost_2014","oc_room_and_board_cost_2014","oc_other_cost_2014","instate_tf_cost_2013","oostate_tf_cost_2013","books_supplies_cost_2013","oc_room_and_board_cost_2013","oc_other_cost_2013","instate_tf_cost_2012","oostate_tf_cost_2012","books_supplies_cost_2012","oc_room_and_board_cost_2012","oc_other_cost_2012","instate_tf_cost_2011","oostate_tf_cost_2011","books_supplies_cost_2011","oc_room_and_board_cost_2011","oc_other_cost_2011","instate_tf_cost_2010","oostate_tf_cost_2010","books_supplies_cost_2010","oc_room_and_board_cost_2010","oc_other_cost_2010","instate_coa_2017","oostate_coa_2017","instate_coa_2016","oostate_coa_2016","instate_coa_2015","oostate_coa_2015","instate_coa_2014","oostate_coa_2014","instate_coa_2013","oostate_coa_2013","instate_coa_2012","oostate_coa_2012","instate_coa_2011","oostate_coa_2011","instate_coa_2010","oostate_coa_2010"
221847,"Tennessee Technological University",8513,24377,2300,9400,6300,8203,24067,2300,8750,6000,8011,23443,2000,8200,6300,7679,22679,2200,8400,5850,7063,22063,2200,8300,5400,6692,20852,2180,8140,4350,6406,20038,2030,7940,4050,5828,18356,1700,7680,3640,26513,42377,25253,41117,24511,39943,24129,39129,22963,37963,21362,35522,20426,34058,18848,31376
228723,"Texas A & M University-College Station",11234,36606,1054,10368,5820,11036,31214,1054,10368,5820,10176,28768,1194,10338,3064,9685,26583,1000,9522,2768,8506,25126,1246,8450,2849,8506,25035,1272,8400,2734,8421,23811,1340,8200,2762,8387,22817,1350,8008,2776,28476,53848,28278,48456,24772,43364,22975,39873,21051,37671,20912,37441,20723,36113,20521,34951
100751,"The University of Alabama",10780,28100,1200,13324,4120,10470,26950,1200,13050,4116,10170,25950,1200,12880,4172,9826,24950,1200,12716,3463,9450,23950,1200,13156,3194,9200,22950,1100,12450,3967,8600,21900,1100,10781,3458,7900,20500,1100,10206,2475,29424,46744,28836,45316,28422,44202,27205,42329,27000,41500,26717,40467,23939,37239,21681,34281
221740,"The University of Tennessee-Chattanooga",8664,24782,1400,9100,3600,8544,24662,1400,9100,3600,8356,24474,1400,9100,3600,8138,24256,1400,9000,3280,7554,22760,1400,8290,3286,7212,21558,1400,8300,3165,6718,20252,1400,8250,3142,6062,18376,1400,8290,3122,22764,38882,22644,38762,22456,38574,21818,37936,20530,35736,20077,34423,19510,33044,18874,31188
221759,"The University of Tennessee-Knoxville",12970,31390,1598,10696,5666,12724,31144,1598,10238,5666,12436,30856,1598,9926,5666,11876,30326,1582,10296,5666,11194,29684,1536,9170,5550,9092,27582,1492,8752,5410,8396,25538,1448,8480,5247,7382,22720,1406,7800,5473,30930,49350,30226,48646,29626,48046,29420,47870,27450,45940,24746,43236,23571,40713,22061,37399
221768,"The University of Tennessee-Martin",9236,14996,1250,5976,3744,9088,14848,1400,5788,4170,8326,22270,1400,5896,3788,8024,21968,1600,5786,3734,7507,21451,1600,5710,3692,7049,20205,1600,5594,3650,6716,19126,1500,5424,3564,6190,18600,1500,5104,3508,20206,25966,20446,26206,19410,33354,19144,33088,18509,32453,17893,31049,17204,29614,16302,28712
228778,"The University of Texas at Austin",10398,36744,662,10070,4310,10092,35682,662,10070,4310,9806,34676,750,11456,4310,9830,34836,750,11456,4310,9798,33842,750,11362,4246,9790,33128,904,10946,3752,9794,32506,874,10422,3624,9418,31218,874,10112,3624,25440,51786,25134,50724,26322,51192,26346,51352,26156,50200,25392,48730,24714,47426,24028,45828
196088,"University at Buffalo",9828,27068,1177,12477,2676,9574,26814,1196,12292,2427,9381,24461,1196,12761,2380,8870,22290,1164,12400,2481,8211,20151,1164,11567,2374,7989,18609,1034,11310,1994,7482,16932,1004,10728,1937,7136,15546,1004,10028,1907,26158,43398,25489,42729,25718,40798,24915,38335,23316,35256,22327,32947,21151,30601,20075,28485
104179,"University of Arizona",11877,35307,800,12300,3300,11769,34967,800,11300,3300,11403,32630,1200,9840,3300,10957,29421,1200,9700,3300,10391,27383,1000,9714,4074,10035,26231,1000,9714,3980,9286,25496,1000,8540,3540,8237,24597,1000,9023,4120,28277,51707,27169,50367,25743,46970,25157,43621,25179,42171,24729,40925,22366,38576,22380,38740
106397,"University of Arkansas",9062,24308,1046,10704,4104,8820,23168,1046,10332,4104,8522,21826,1000,9880,4104,8210,20300,1400,9454,4002,7818,19074,1380,9042,3972,7554,18434,1278,8672,3968,7174,17606,1214,8330,3746,6768,16000,1162,8042,3518,24916,40162,24302,38650,23506,36810,23066,35156,22212,33468,21472,32352,20464,30896,19490,28722
